Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Skype,Широта,Долгота,2GIS URL,Тип,Twitter,Telegram 1,Telegram 2,Telegram 3,Тип;;;;;;;;;;;;;;;;;;;,E-mail,Тип;;;;;;;;;;;;;;;;;;,Viber 1,Viber 2,Тип;;;;;;;;;;;;;;;;;,Тип;;;;;;;;;;;;;;;;;;;;;;;
 Praga,продуктовый магазин,Продуктовые магазины,"улица Жаужурек, 29",,40707.0,Бурундай м-н,Алатауский район,,Илийский район,Алматинская область,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,,,,,,,,,,,,,,,,,,,,,,43.354233,76.84215,https://2gis.com/firm/70000001094697480,branch,,,,,,,,,,,
1000 мелочей,магазин,Хозтовары; Сантехника,"микрорайон Аккент, 41",,50038.0,Аккент м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,,,,,,,,,,,,,,,,,,,,,,43.24334,76.813733,https://2gis.com/firm/70000001094229784,branch,,,,,,,,,,,
1000 мелочей,магазин,Канцтовары; Домашний текстиль; Бытовая химия; Средства гигиены,"улица Ырысты, 46/10",цокольный этаж,50061.0,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,1.6,2.0,87478505375,87471370214,,,,,,,,https://instagram.com/diljan_shop_jk_yrysty,,,https://wa.me/77478505375,https://wa.me/77471370214,,,,,,43.266088,76.853907,https://2gis.com/firm/70000001079584490,branch,,,,,,,,,,,
1000 мелочей,магазин,Бытовая химия; Бижутерия; Швейная фурнитура,"шоссе Северное Кольцо, 50",43 бутик,50058.0,,Алатауский район,Алматы,,Алматы,Казахстан,Вт: 07:00-19:00; Ср: 07:00-19:00; Чт: 07:00-19:00; Пт: 07:00-19:00; Сб: 07:00-19:00; Вс: 07:00-19:00,+05:00,,,87076553970,,,,,,,,,,,,https://wa.me/77076553970,,,,,,,43.294267,76.890355,https://2gis.com/firm/70000001075866199,branch,,,,,,,,,,,
1000 мелочей,магазин,Хозтовары; Посуда; Стройматериалы,"улица Центральная, 140",,50048.0,Карасу м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,3.0,,,,,,,,,,,,,,,,,,,,43.338756,76.911416,https://2gis.com/firm/70000001052619451,branch,,,,,,,,,,,
1000 мелочей,магазин,Бытовая химия; Садовый инвентарь; Посуда,"улица Ахрименко, 43/1",1 этаж,50061.0,Айгерим-1 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,1.0,87073195062,,,,,,,,,,,,https://wa.me/77073195062,,,,,,,43.259704,76.842991,https://2gis.com/firm/70000001042682569,branch,,,,,,,,,,,
1000 мелочей,магазин ,Сантехника; Бытовая химия; Стройматериалы,"микрорайон Аккент, 34",1 этаж,50038.0,Аккент м-н,Алатауский район,Алматы,,Алматы,Казахстан,,+05:00,2.7,4.0,87051378592,87013155626,,,,,,,,,,,https://wa.me/77013155626,,,,,,,43.243575,76.815681,https://2gis.com/firm/70000001081822715,branch,,,,,,,,,,,
103,продуктовый магазин,Продуктовые магазины,"улица Хасен Оралтай, 103",,50024.0,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,,,87077885815,,,,,,,,,,,,,,,,,,,43.324004,76.8882,https://2gis.com/firm/70000001094405003,branch,,,,,,,,,,,
1ka market,продуктовый магазин,Продуктовые магазины,"улица Рафикова, 14",,50024.0,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,5.0,5.0,87059902324,,,,,,,,,,,,https://wa.me/77059902324,,,,,,,43.312268,76.895298,https://2gis.com/firm/70000001075910561,branch,,,,,,,,,,,
3D,продуктовый магазин,Продуктовые магазины; Хозтовары,"улица Инабат, 68",,50053.0,Алгабас м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.9,6.0,87051800475,,,,,,,,,,,,https://wa.me/77051800475,,,,,,,43.262558,76.797365,https://2gis.com/firm/70000001045624487,branch,,,,,,,,,,,
777,магазин,Продуктовые магазины,"улица Кабылан, 1а",,50047.0,Коккайнар м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 07:30-24:00; Вт: 07:30-24:00; Ср: 07:30-24:00; Чт: 07:30-24:00; Пт: 07:30-24:00; Сб: 07:30-24:00; Вс: 07:30-24:00,+05:00,2.6,4.0,,,,,,,,,,,,,,,,,,,,43.290972,76.838239,https://2gis.com/firm/70000001078548188,branch,,,,,,,,,,,
