Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Skype,Широта,Долгота,2GIS URL,Тип
31-А,продуктовый магазин,Продуктовые магазины,"микрорайон Орбита-3, 31а",,050043,Орбита-3 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:30; Вт: 09:00-23:30; Ср: 09:00-23:30; Чт: 09:00-23:30; Пт: 09:00-23:30; Сб: 09:00-23:30; Вс: 09:00-23:30,+05:00,2.0,28,,,,,,,,,,,,,,,,,,,43.201085,76.872281,https://2gis.com/firm/9429940000924977,branch
4U,продуктовый магазин,Продуктовые магазины,"улица Жарокова, 193",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-03:00; Сб: 10:00-03:00; Вс: 10:00-01:00,+05:00,1.7,33,,,,,,,,,,,,,,,,,,,43.229872,76.900421,https://2gis.com/firm/9429940000963234,branch
4You market,продуктовый магазин,Продуктовые магазины; Бытовая химия,"улица Розыбакиева, 310а",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:30-24:00; Вт: 08:30-24:00; Ср: 08:30-24:00; Чт: 08:30-24:00; Пт: 08:30-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,3.3,38,87710950101,,,,,,,,,,,,,,,,,,43.20877,76.894721,https://2gis.com/firm/70000001055564022,branch
7 арал,магазин,Продуктовые магазины,"улица Ислама Каримова, 198а",1 этаж,050046,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-01:00; Вт: 09:00-01:00; Ср: 09:00-01:00; Чт: 09:00-01:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 09:00-01:00,+05:00,1.1,1,,,,,,,,,,,,,,,,,,,43.23988,76.884984,https://2gis.com/firm/70000001054791328,branch
7000 мелочей,магазин,Бытовая химия; Посуда; Игрушки; Нижнее бельё,"улица Курмангазы, 144",1 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.4,21,87001006939,,,,,,,,,,https://wa.me/77001006939,,,,,,,,43.241387,76.902515,https://2gis.com/firm/70000001043835249,branch
7daysockskz ,магазин,Носки / Колготки; Календари / Открытки,"улица Розыбакиева, 247а",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,1,,,,,,,,https://instagram.com/7daysockskz,,,https://wa.me/77760048371,,,,,,,,43.203253,76.89209,https://2gis.com/firm/70000001083684673,branch
888,продовольственный магазин,Продуктовые магазины,"улица Радостовца, 271",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,3.4,9,,,,,,,,,,,,,,,,,,,43.21496,76.894019,https://2gis.com/firm/9429940001173820,branch
A-Store,супермаркет,Супермаркеты; Разливное пиво,"улица Кенесары хана, 141",1 этаж,050070,Каргалы м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,2.9,53,87273309777 (доп.100),87273308743 (доп.142),,,http://a-store.kz,,,https://instagram.com/a_store.kz,https://facebook.com/astore.kz,,https://wa.me/77017694426,,,,,,,,43.17628,76.866402,https://2gis.com/firm/70000001063623243,branch
A-Store,супермаркет,Супермаркеты; Разливное пиво,"проспект Назарбаева, 223",1 этаж,050059,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,2.0,121,87273308741 (доп.1200),,,,http://a-store.kz,,,https://instagram.com/a_store.kz,https://facebook.com/astore.kz,,https://wa.me/77017694426,,,,,,,,43.232783,76.948348,https://2gis.com/firm/70000001032138656,branch
A-Store,супермаркет,Гипермаркеты; Разливное пиво,"улица Каныша Сатпаева, 90",1 этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,2.1,590,87273308741 (доп.1200),,,,http://a-store.kz,,,https://instagram.com/a_store.kz,https://facebook.com/astore.kz,,https://wa.me/77017694426,,,,,,,,43.232863,76.879509,https://2gis.com/firm/9429940001078395,branch
A`sel,продуктовый магазин,Продуктовые магазины,"микрорайон Казахфильм, 3",1 этаж,050023,Казахфильм м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 05:00-03:00; Вт: 05:00-03:00; Ср: 05:00-03:00; Чт: 05:00-03:00; Пт: 05:00-03:00; Сб: 05:00-03:00; Вс: 05:00-03:00,+05:00,2.0,33,87272992811,,,,,,,,,,,,,,,,,,43.190607,76.901966,https://2gis.com/firm/9429940000876436,branch
